Current [A],Force [N],Flux Density [T]
-60,124.233340019,0.421664878182
-55,146.675357414,0.462723137469
-50,171.771210006,0.503781396788
-45,199.520897793,0.544839656134
-40,229.924420777,0.585897915499
-35,262.981778956,0.62695617488
-30,298.692972332,0.668014434275
-25,337.058000902,0.709072693679
-20,378.07686467,0.750130953094
-15,421.749563632,0.791189212515
-10,468.076097792,0.832247471944
-5,517.056467146,0.873305731378
0,568.690671698,0.914363990817
5,622.978711444,0.95542225026
10,679.920586388,0.996480509707
15,739.516296526,1.03753876916
20,801.765841861,1.07859702861
25,866.66922239,1.11965528806
30,934.226438117,1.16071354752
35,1004.43748904,1.20177180698
40,1077.30237516,1.24283006644
45,1152.82109647,1.28388832591
50,1230.99365298,1.32494658537
55,1311.82004469,1.36600484484
60,1395.30027159,1.40706310431
