Current [A],Force [N],Flux Density [T]
-60,703.440410219,1.01290381349
-55,691.627421599,1.0046921616
-50,679.920586386,0.996480509706
-45,668.319904583,0.988268857817
-40,656.825376186,0.980057205927
-35,645.437001199,0.971845554039
-30,634.154779618,0.963633902149
-25,622.978711444,0.955422250259
-20,611.90879668,0.947210598371
-15,600.945035321,0.938998946482
-10,590.087427373,0.930787294593
-5,579.335972831,0.922575642705
0,568.690671698,0.914363990817
5,558.151523972,0.906152338929
10,547.718529654,0.897940687041
15,537.391688744,0.889729035153
20,527.171001242,0.881517383266
25,517.056467147,0.873305731378
30,507.04808646,0.865094079491
35,497.145859181,0.856882427603
40,487.34978531,0.848670775717
45,477.659864848,0.840459123831
50,468.076097791,0.832247471943
55,458.598484144,0.824035820058
60,449.227023904,0.815824168172
